Class,Skill Name,Skill Description,Rune 1 Name,Rune 1 Description,Rune 2 Name,Rune 2 Description,Rune 3 Name,Rune 3 Description,Rune 4 Name,Rune 4 Description,Rune 5 Name,Rune 5 Description
Crusader,Steed Charge,Cooldown: 16 seconds - Mount a celestial war horse that allows you to ride through enemies unhindered for 2 seconds.,Spiked Barding,The war horse deals 500% of your Thorns every second to enemies through which you ride.,Nightmare,"The war horse is engulfed in righteous fire, scorching all who cross its path for 550% weapon damage per second as Fire.",Rejuvenation,"While riding the war horse, you recover 15% of your maximum Life.",Endurance,Increase the duration to 3 seconds.,Draw and Quarter,"Bind 5 monsters near you with chains and drag them as you ride, dealing 185% weapon damage as Holy every second."

Crusader,Shield Bash,"Cost: 30 Wrath - Charge at your enemy, bashing him and all nearby foes. Deals 700% weapon damage plus 300% of your shield Block Chance as Holy damage. - Requires Shield",Shattered Shield,"The shield shatters into other smaller fragments, hitting more enemies for 740% weapon damage plus 335% of your shield Block Chance as damage.",One on One,The targeted monster is stunned for 1.5 seconds. All other monsters hit are knocked back.,Shield Cross,Additional shields erupt from you in a cross formation. Enemies hit by any of the additional shields take 155% weapon damage plus 100% of your shield Block Chance as damage.,Crumble,Increases the weapon damage of Shield bash to 875%.,Pound,Shield Bash will now deal 1320% weapon damage plus 500% shield Block Chance as damage. The range is reduced to 8 yards.

Demon Hunter,Elemental Arrow,Cost: 10 Hatred - Shoot a fire arrow that deals 300% weapon damage as Fire to all enemies it passes through. - Requires Bow,Ball Lightning,Shoot a ball of lightning that electrocutes enemies along its path for 300% weapon damage as Lightning.,Frost Arrow,Shoot a frost arrow that hits an enemy for 330% weapon damage as Cold then splits into up to 10 additional frost arrows. Enemies hit are Chilled by 60% for 1 second.,Immolation Arrow,"Shoot a fiery arrow that hits an enemy for 300% weapon damage as Fire and explodes, immolating the ground for 315% weapon damage as Fire over 2 seconds to enemies within 10 yards.",Lightning Bolts,Shoot an electrified bolt for 300% weapon damage as Lightning that Stuns enemies for 1 second on a Critical Hit.,Nether Tentacles,Shoot a shadow tentacle that deals 300% weapon damage as Physical to enemies along its path and returns 0.4% of your maximum Life for each enemy hit.

Demon Hunter,Fan of Knives,"Cooldown: 10 seconds - Throw knives out in a spiral around you, dealing 620% weapon damage to all enemies within 20 yards. Your knives will also Slow the movement of enemies by 60% for 1 second.",Pinpoint Accuracy,Increase cooldown to 15 seconds and increase damage to 1600% weapon damage as Lightning.,Bladed Armor,Gain 40% additional armor for 6 seconds.Fan of Knives' damage turns into Cold.,Knives Expert,Remove the cooldown but add a 30 Hatred cost.Fan of Knives' damage turns into Fire.,Fan of Daggers,Enemies hit are Stunned for 3 seconds.Fan of Knives' damage turns into Fire.,Assassin's Knives,Also throw long-range knives that deal 620% weapon damage to 5 additional enemies.

Demon Hunter,Rain of Vengeance,Cooldown: 30 seconds - Fire a massive volley of arrows at a large area. Arrows fall from the sky dealing 1500% weapon damage over 5 seconds to all enemies in the area. - Requires Bow,Dark Cloud,Launch a volley of guided arrows that rain down on enemies for 3500% weapon damage over 8 seconds.,Shade,Fire a massive volley of arrows at a large area. Arrows fall from the sky dealing 2800% weapon damage as Lightning over 5 seconds to all enemies in the area.,Stampede,"Summon a wave of 10 Shadow Beasts to tear across the ground, knocking back enemies and dealing 4600% total weapon damage as Fire over 3 seconds.",Anathema,Summon a Shadow Beast that drops grenades from the sky dealing 5800% weapon damage as Fire over 2 seconds.,Flying Strike,Call a group of 8 Shadow Beasts to plummet from the sky at a targeted location dealing 3800% total weapon damage as Cold over 5 seconds and Freezing enemies hit for 2 seconds.

Demon Hunter,Smoke Screen,"Cost: 14 Discipline - Cooldown: 1.5 seconds - Vanish behind a wall of smoke, becoming momentarily invisible for 1 second. - This ability does not start its cooldown until after its effects expire.",Displacement,Gain 100% movement speed while invisible.,Lingering Fog,Increase the duration to 1.5 seconds.,Healing Vapors,Regenerate 15% Life while invisible.,Special Recipe,Reduce the cost to 8 Discipline.,Vanishing Powder,Remove the Discipline cost but increase the cooldown to 6 seconds.

Demon Hunter,Spike Trap,"Cost: 15 Hatred - Lay a trap that remains dormant until another Hatred spender is used to detonate the trap. When detonated, the trap and all other traps will explode in a chain reaction for 1160% weapon damage as Fire to all enemies within 8 yards of each trap. - You can have a maximum of 4 Spike Traps active at one time.",Echoing Blast,"Increase to 2020% weapon damage as Cold.On detonation, the blast slows any targets hit for 3 seconds.",Custom Trigger,Increase to 1900% weapon damage as Fire.Hatred generators will now detonate traps.,Impaling Spines,"Increases damage to 1930% weapon damage.When deployed, enemies within range are instantly immobilized for 3 seconds.",Lightning Rod,When triggered lightning chain hits up to 3 enemies within 10 yards.Lightning will also arc from any triggered trap to any armed traps within 25 yards.All enemies are hit for 2020% weapon damage as Lightning over 3 hits.,Scatter,Simultaneously lay 2 traps.

Demon Hunter,Companion,Cooldown: 30 seconds - Active: Your raven deals an additional 500% damage on its next attack. - Passive: Summons a raven companion that pecks at enemies for 100% of your weapon damage as Physical.,Spider Companion,"Active: Your spider throws webs at all enemies within 25 yards of you and him, Slowing them by 80% for 5 seconds.Passive: Summons a spider companion that attacks enemies in front of him for 140% weapon damage as Physical.The spider's attacks Slow enemies by 60% for 3 seconds.",Bat Companion,Active: Instantly gain 50 Hatred.Passive: Summons a bat companion that attacks for 60% of your weapon damage as Physical.The bat grants you 1 Hatred per second.,Boar Companion,"Active: Your boar charges to you, then taunts all enemies within 20 yards for 5 seconds.Passive: Summons a boar companion that attacks enemies for 50% of your weapon damage as Physical.The boar increases your and your party's Life regeneration by 10,728 and resistance to all elements by 20%.",Ferret Companion,"Active: Instantly pick up all health globes and gold within 60 yards.Passive: Summons a pair of ferret companions that each attack for 50% of your weapon damage as Physical.The ferrets collect gold for you, increase gold found on monsters by 10%, and increase your movement speed by 10%.",Wolf Companion,"Active: Your wolf howls, granting you and your allies within 60 yards 15% increased damage for 10 seconds.Passive: Summons a wolf companion that attacks enemies in front of him for 150% of your weapon damage as Physical."

Demon Hunter,Impale,Cost: 20 Hatred - Throw a knife that impales an enemy for 750% weapon damage.,Impact,The impact causes Knockback and has a 100% chance to Stun for 1.5 seconds.,Chemical Burn,The enemy also burns for 500% weapon damage as Fire over 2 seconds.,Overpenetration,The knife pierces through all enemies in a straight line for Cold damage.,Ricochet,The knife ricochets to 2 additional nearby enemies within 20 yards of each other.Impale's damage turns into Lightning.,Grievous Wounds,Critical Hits deal 330% additional damage.

Demon Hunter,Strafe,Cost: 12 Hatred - Shoot at random nearby enemies for 675% weapon damage while moving at 75% of normal movement speed. - Requires Weapon,Icy Trail,Leave an icy trail in your wake that deals 300% weapon damage as Cold over 3 seconds and Chills enemies for 3 seconds.,Drifting Shadow,Movement speed increased to 100% of normal running speed while strafing.Strafe's damage turns into Lightning.,Stinging Steel,Throw out knives rather than arrows that deal an extra 140% damage on Critical Hits.,Rocket Storm,"In addition to regular shots, shoot off homing rockets for 130% weapon damage as Fire.",Demolition,Throw out bouncy grenades that explode for 460% weapon damage as Fire to enemies within 9 yards.

Demon Hunter,Cluster Arrow,Cost: 40 Hatred - Fire a cluster arrow that explodes for 650% weapon damage as Fire into a series of 4 additional grenades that each explode for 250% weapon damage as Fire. - Requires Bow,Dazzling Arrow,Enemies hit by the grenades have a 100% chance to be stunned for 1.5 seconds.Cluster Arrow's damage turns into Lightning.,Shooting Stars,"Instead of releasing grenades, release up to 2 rockets at nearby enemies that each deal 600% weapon damage as Physical.",Maelstrom,"Instead of releasing grenades, release up to 3 rockets at nearby enemies that each deal 450% weapon damage as Cold. You gain 2% Life per enemy hit.",Cluster Bombs,"Launch a cluster through the air, dropping grenades in a straight line that each explode for 650% weapon damage as Fire.",Loaded for Bear,Increase the damage of the explosion at the impact location to 850% weapon damage as Fire.

Demon Hunter,Preparation,Cooldown: 45 seconds - Instantly restore 30 Discipline.,Invigoration,Passive: Permanently increase maximum Discipline by 20.,Punishment,Restore 75 Hatred.Preparation has a 20 second cooldown.,Battle Scars,Gain 40% Life when using Preparation.,Focused Mind,Gain 45 Discipline over 15 seconds instead of restoring it immediately.,Backup Plan,There is a 30% chance that Preparation's cooldown will not be triggered.

Demon Hunter,Entangling Shot,"Generate: 4 Hatred - Imbue an arrow with shadow energy that deals 200% weapon damage to the primary enemy and entangles up to 2 enemies, slowing their movement by 60% for 2 seconds. - When Entangling Shot hits an enemy, the Slow effect on all entangled enemies is refreshed. - Requires Bow",Chain Gang,Entangle and Slow up to 4 enemies with each shot.,Shock Collar,Entangled enemies take 80% weapon damage as Lightning over 2 seconds.,Heavy Burden,Increase the Slow duration to 4 seconds.Entangling Shot's damage turns into Cold.,Justice is Served,Increase Hatred generated to 7.Entangling Shot's damage turns into Fire.,Bounty Hunter,Increase the Slow amount to 80%.

Demon Hunter,Rapid Fire,"Cost: 20 Hatred initially, and an additional 6 Hatred while channeling - Rapidly fire for 685% weapon damage as Physical. - Requires Bow",Withering Fire,"Reduce the initial Hatred cost to 10 and ignite your arrows, causing them to deal Fire damage.",Frost Shots,Enemies hit by Rapid Fire are Chilled by 80% for 2 seconds.Rapid Fire's damage turns into Cold.,Fire Support,"While channeling Rapid Fire, launch 2 homing rockets every second. Each rocket deals 145% weapon damage as Physical to nearby enemies.",High Velocity,Fire lightning arrows that have a 50% chance to pierce through enemies.,Bombardment,Rapidly fire grenades that explode for 545% weapon damage as Fire to all enemies within a 8 yard radius.

Demon Hunter,Chakram,Cost: 10 Hatred - Fire a swirling Chakram that deals 380% weapon damage as Physical to enemies along its path.,Twin Chakrams,A second Chakram mirrors the first. Each Chakram deals 220% weapon damage as Fire.,Serpentine,"The Chakram follows a slow curve, dealing 500% weapon damage as Cold to enemies along the path.",Razor Disk,The Chakram spirals out from the targeted location dealing 380% weapon damage as Physical to enemies along the path.,Boomerang,"The Chakram path turns into a loop, dealing 400% weapon damage as Lightning to enemies along its path.",Shuriken Cloud,"Surround yourself with a cloud of spinning Chakrams, dealing 200% weapon damage per second as Physical to nearby enemies. Lasts 10 minutes."

Demon Hunter,Multishot,Cost: 25 Hatred - Fire a massive volley of arrows dealing 360% weapon damage to all enemies in the area. - Requires Bow,Fire at Will,Reduce the Hatred cost to 18.Multishot's damage turns into Lightning.,Wind Chill,Enemies hit are Chilled and have 8% increased chance to be Critically Hit for 3 seconds.,Suppression Fire,Knockback the first 4 enemies hit.,Full Broadside,Increase the damage of Multishot to 500% weapon damage.,Arsenal,"Every time you fire, launch 3 rockets at nearby enemies that each deal 300% weapon damage as Fire."

Demon Hunter,Grenade,Generate: 4 Hatred - Throw a grenade that bounces and explodes for 160% weapon damage as Fire.,Tinkerer,Increase Hatred generated to 7.,Cluster Grenades,Throw cluster grenades that deal 200% weapon damage as Fire over a 9 yard radius.,Grenade Cache,Throw out 3 grenades that explode for 160% weapon damage as Fire each.,Stun Grenade,Hurl a Lightning grenade that has a 20% chance to Stun enemies for 1.5 seconds.,Cold Grenade,Throw a grenade that explodes for 160% weapon damage as Cold and leaves a cloud that deals an additional 120% weapon damage as Cold over 3 seconds to enemies who stand in the area and Chills them.

Demon Hunter,Vengeance,Cooldown: 90 seconds - Turn into the physical embodiment of Vengeance for 20 seconds. -  Side Guns: Gain 4 additional piercing shots for 60% weapon damage each on every attack. Homing Rockets: Shoot 2 rockets at nearby enemies for 80% weapon damage each on every attack. Vengeance: Gain 40% increased damage.,Personal Mortar,"Instead of Homing Rockets, launch 2 Grenades at random enemies outside melee range on every attack that explode for 150% weapon damage each as Fire.",Dark Heart,"Vengeance fills your heart, reducing all damage taken by 50%.",Side Cannons,"Instead of Homing Rockets, the side guns are powered up into slower-firing cannons that deal 225% weapon damage and heal you for 3.0% of maximum Life per enemy hit.",Seethe,Gain 10 Hatred per second.,From the Shadows,"Instead of Homing Rockets, summon allies from the shadows that attack for 120% weapon damage as Cold and Freeze your enemies for 3 seconds."

Demon Hunter,Marked for Death,Cost: 3 Discipline - Mark an enemy. The marked enemy takes 15% additional damage for the next 30 seconds.,Contagion,"When the enemy is killed, the mark spreads to the closest 3 enemies within 30 yards. This effect can chain repeatedly.",Valley of Death,Mark an area on the ground of 15 yard radius for 15 seconds. Enemies in the area take 15% additional damage.,Grim Reaper,15% of damage dealt to the marked enemy is also divided evenly among all enemies within 20 yards.,Mortal Enemy,Attacks you make against the marked enemy generate 4 Hatred.,Death Toll,Attackers heal for up to 3% of their maximum Life when damaging the marked enemy.

Demon Hunter,Vault,Cost: 8 Discipline - Tumble acrobatically 35 yards.,Action Shot,"While Vaulting, shoot 4 arrows for 75% weapon damage at nearby enemies. These shots are guaranteed Critical Hits.",Rattling Roll,Enemies you vault through are knocked away and Stunned for 1.5 seconds.,Tumble,"After using Vault, your next Vault within 6 seconds has its Discipline cost reduced by 50%.",Acrobatics,Remove the Discipline cost but add an 6 second cooldown.,Trail of Cinders,Leave a trail of fire in your wake that deals 300% weapon damage as Fire over 3 seconds.

Demon Hunter,Bolas,"Generate: 4 Hatred - Shoot out an explosive bola that wraps itself around the enemy. After 1 second, the bola explodes dealing 160% weapon damage as Fire to the enemy and an additional 110% weapon damage as Fire to all other enemies within 14 yards.",Volatile Explosives,Increase the explosion radius to 20 yards.,Thunder Ball,Increase Hatred generated to 7.,Freezing Strike,Shoot 3 bolas that each deal 160% weapon damage as Cold. The bolas no longer explode for area damage to nearby enemies.Enemies hit have a 50% chance to be Frozen for 1 second.,Bitter Pill,"When the bola explodes, you have a 15% chance to gain 2 Discipline.Bolas's damage turns into Lightning.",Imminent Doom,"Augment the bola to deal 216% weapon damage as Fire to the enemy and 148% weapon damage as Fire to all other enemies within 14 yards, but increases the explosion delay to 2 seconds."

Demon Hunter,Hungering Arrow,Generate: 4 Hatred - Fire a magically imbued arrow that seeks out enemies for 155% weapon damage and has a 35% chance to pierce through them. - Requires Bow,Puncturing Arrow,Increase the chance for the arrow to pierce to 50%.,Serrated Arrow,Increase Hatred generated to 7.Hungering Arrow's damage turns into Fire.,Shatter Shot,"If the arrow successfully pierces the first enemy, the arrow splits into 3 arrows.Hungering Arrow's damage turns into Lightning.",Devouring Arrow,Each consecutive pierce increases the damage of the arrow by 70%.Hungering Arrow's damage turns into Cold.,Spray of Teeth,"Critical Hits cause a burst of bone to explode from the enemy, dealing 60% weapon damage to enemies within 10 yards."

Demon Hunter,Shadow Power,"Cost: 14 Discipline - Draw in the power of the shadows, gaining 26,821 Life per Hit for 5 seconds. - Life per Hit gained is increased by 25% of your Life per Kill.",Night Bane,Slow the movement speed of enemies within 30 yards by 80% for 5 seconds.,Blood Moon,Double the total amount of Life per Hit gained.,Well of Darkness,Reduce the cost to 8 Discipline.,Gloom,Reduce damage taken by 35% while Shadow Power is active.,Shadow Glide,Gain 30% increased movement speed while Shadow Power is active.

Demon Hunter,Evasive Fire,"Generate: 4 Hatred - Shoot a spread of bolts that hits the primary enemy for 200% weapon damage and two additional enemies for 100% weapon damage. - If an enemy is in front of you at close range, you will backflip away 5 yards. - Requires Bow",Hardened,"Instead of backflipping, your Armor is increased by 25% for 3 seconds.",Parting Gift,"Whenever a backflip is triggered, leave a bomb behind that explodes for 150% weapon damage as Physical in a 12 yard radius after 0.6 seconds.",Covering Fire,Increase the damage of side bolts to 200% weapon damage as Fire.,Focus,"Instead of backflipping, increase Hatred generated to 7.Evasive Fire's damage turns into Cold.",Surge,Increase the backflip distance to 15 yards.Evasive Fire's damage turns into Lightning.

Demon Hunter,Sentry,Cost: 20 Hatred - Summon a turret that fires at nearby enemies for 280% weapon damage. Lasts 30 seconds. - You may have 2 turrets active at a time. - You gain a charge every 8 seconds and can have up to 2 charges stored at a time.,Spitfire Turret,The turret will also fire homing rockets at random nearby enemies for 120% weapon damage as Fire.,Impaling Bolt,The turret now fires piercing bolts.,Chain of Torment,Create a chain between you and the Sentry and between each Sentry that deals 300% weapon damage every second to each enemy it touches.,Polar Station,"The turret Chills all nearby enemies within 16 yards, Slowing their movement speed by 60%.",Guardian Turret,The turret also creates a shield that reduces damage taken by allies by 25%.

Demon Hunter,Caltrops,"Cost: 6 Discipline - Lay a trap of caltrops on the ground that activates when an enemy approaches. Once sprung, the caltrops Slow the movement of enemies within 12 yards by 60%. This trap lasts 6 seconds.",Hooked Spines,Increase the slowing amount to 80%.,Torturous Ground,"When the trap is sprung, all enemies in the area are immobilized for 2 seconds.",Jagged Spikes,Enemies in the area also take 270% weapon damage as Physical over 6 seconds.,Carved Stakes,Reduce the cost of Caltrops to 3 Discipline.,Bait the Trap,"Become empowered while standing in the area of effect, gaining an additional 10% Critical Hit Chance."

Monk,Mantra of Conviction,Cost: 50 Spirit - Active: Damage bonus is increased to 16% for 3 seconds. - Passive: Enemies within 30 yards of you take 8% increased damage. - Only one Mantra may be active at a time.,Overawe,Passive: Increase the strength of Mantra of Conviction so that enemies take 12% increased damage.,Intimidation,Passive: Enemies affected by Mantra of Conviction deal 15% less damage.,Dishearten,Passive: Mantra of Conviction also slows the movement speed of enemies by 80%.,Annihilation,Passive: Killing an enemy that is affected by Mantra of Conviction grants you and your allies 30% increased movement speed for 3 seconds.,Submission,Passive: Enemies affected by Mantra of Conviction take 38% weapon damage per second as Holy.

Monk,Wave of Light,Cost: 75 Spirit - Focus a wave of light that crushes enemies for 835% weapon damage as Holy.,Wall of Light,Wave of Light Stuns enemies for 1 second.Wave of Light's damage turns into Physical.,Explosive Light,Release bursts of energy that deal 830% weapon damage as Fire to nearby enemies.,Empowered Wave,Increases the damage of Wave of Light to 1045% weapon damage as Holy.,Shattering Light,Wave of Light deals an additional 820% weapon damage as Cold in a line.,Pillar of the Ancients,"Summon an ancient pillar that deals 635% weapon damage as Lightning, followed by 785% weapon damage as Lightning over 3 seconds to enemies who remain in the area."

Monk,Blinding Flash,"Cooldown: 15 seconds - Create a flash of light that blinds all enemies within 20 yards for 3 seconds. Elite enemies recover faster, but suffer a 30% chance to miss with attacks.",Self Reflection,Increase the duration enemies are blinded to 6 seconds.,Mystifying Light,Blinded enemies are also slowed by 80% for 5 seconds.,Replenishing Light,Each enemy you Blind restores 10 Spirit.,Crippling Light,Enemies that are Blinded deal 25% reduced damage for 5 seconds after the Blind wears off.,Faith in the Light,You deal 29% increased damage for 3 seconds after using Blinding Flash.

Monk,Sweeping Wind,Cost: 75 Spirit - Surround yourself in a vortex that continuously deals 105% weapon damage to all enemies within 10 yards. The vortex lasts 6 seconds and is refreshed each time you strike an enemy with a melee attack. Landing a Critical Hit has a chance to increase the vortex effect up to 3 stacks for a total of 315% weapon damage.,Master of Wind,"While your vortex is at 3 or more stacks, enemies damaged by Sweeping Wind for 3 consecutive seconds are Frozen for 2 seconds.Enemies cannot be frozen by Sweeping Wind more than once every 3 seconds.Sweeping Wind's damage turns into Cold.",Blade Storm,"Intensify the vortex, increasing the damage per stack to 145% weapon damage. This increases the damage with 3 stacks to 435% weapon damage.",Fire Storm,Increase the radius of the vortex to 14 yards.Sweeping Wind's damage turns into Fire.,Inner Storm,"As long as your vortex is at 3 or more stacks, you gain 8 Spirit per second.Sweeping Wind's damage turns into Holy.",Cyclone,"While your vortex is at 3 or more stacks, Critical Hits have a chance to spawn a lightning tornado that periodically electrocutes nearby enemies for 95% weapon damage as Lightning. Each spawned lightning tornado lasts 3 seconds.Sweeping Wind's damage turns into Lightning."

Monk,Mantra of Healing,"Cost: 50 Spirit - Active: Shroud you and your allies with a mystical shield that absorbs up to 62,064 damage for 3 seconds. Absorb amount is increased by 15% of your Health Globe Healing Bonus. - Passive: You and your allies within 60 yards gain 10,728 increased Life regeneration. The heal amount is increased by 7% of your Life per Second. - Only one Mantra may be active at a time.",Sustenance,"Passive: Increase the Life regeneration granted by Mantra of Healing to 21,457 Life per Second.Heal amount is increased by 7% of your Life per Second.",Circular Breathing,Passive: Mantra of Healing also regenerates 3 Spirit per second.,Boon of Inspiration,Passive: Mantra of Healing also heals 3576 Life when hitting an enemy.Heal amount is increased by 20% of your Life per Hit.,Heavenly Body,Passive: Mantra of Healing also increases maximum Life by 20%. ,Time of Need,Passive: Mantra of Healing also reduces damage taken by 30% when below 50% Life.

Monk,Fists of Thunder,Generate: 14 Spirit per attack - Teleport to your target and unleash a series of extremely fast punches that deal 200% weapon damage as Lightning. - Every third hit deals 400% weapon damage as Lightning split between all enemies in front of you.,Thunderclap,Release an electric shockwave with every punch that hits all enemies within 6 yards of your primary enemy for 120% weapon damage as Lightning and causes knockback with every third hit.,Wind Blast,Every third hit Freezes enemies for 2 seconds.Fists of Thunder's damage turns into Cold.,Static Charge,"Fists of Thunder applies Static Charge to enemies hit for 6 seconds. Each time an enemy with Static Charge gets hit by you, there is a chance that every other enemy with Static Charge within 40 yards takes 40% weapon damage as Lightning.",Quickening,Increase Spirit generated to 20.Fists of Thunder's damage turns into Physical.,Bounding Light,"Every third hit also releases arcs of holy power, dealing 240% weapon damage as Holy to up to 3 additional enemies."

Monk,Crippling Wave,"Generate: 12 Spirit per attack - Unleash a series of large sweeping attacks that deal 155% weapon damage as Physical to all enemies in front of you. - Every third hit also dazes enemies within 11 yards, slowing their movement speed by 30% and attack speed by 20% for 3 seconds.",Mangle,Increase damage to 255% weapon damage as Fire.,Concussion,Enemies hit by Crippling Wave deal 20% less damage for 3 seconds.,Rising Tide,Each enemy hit generates 2.5 additional Spirit.Crippling Wave's damage turns into Holy.,Tsunami,Crippling Wave's third attack has its range increased to 17 yards and Freezes enemies for 1 second.Crippling Wave's damage turns into Cold.,Breaking Wave,Enemies hit by Crippling Wave take 10% additional damage from all attacks for 3 seconds.

Monk,Epiphany,"Cooldown: 60 seconds - Have an Epiphany, increasing your Spirit Regeneration per Second by 20 and enabling your melee attacks to instantly dash to your target for 15 seconds.",Desert Shroud,"Infuse yourself with sand, reducing damage taken by 50%.",Ascendance,"Charge yourself with Lightning, causing your next attack after moving 10 yards to Stun enemies for 1.5 seconds.",Soothing Mist,"Imbue yourself with water, causing your abilities to heal yourself and allies within 30 yards for 16,093 Life.Heal amount is increased by 4% of your Health Globe Healing Bonus.",Insight,Increases the bonus Spirit regeneration from Epiphany to 45.,Inner Fire,"Engulf yourself in flames, causing your attacks to assault enemies for 353% weapon damage as Fire."

Monk,Inner Sanctuary,Cooldown: 20 seconds - Create a runic circle of protection on the ground for 6 seconds that reduces all damage taken by 55% for all allies inside.,Sanctified Ground,Inner Sanctuary duration is increased to 8 seconds and cannot be passed by enemies.,Safe Haven,"Allies inside Inner Sanctuary are healed for 35,779 every second.Heal amount is increased by 7% of your Life per Second.",Temple of Protection,Allies inside Inner Sanctuary are also immune to control impairing effects.,Intervene,"Dash to the target location, granting a shield that absorbs up to 107,284 damage for 3 seconds to allies within 11 yards and then creating Inner Sanctuary.Absorb amount is increased by 28% of your Health Globe Healing Bonus.",Forbidden Palace,Enemies inside Inner Sanctuary have their movement speed reduced by 80%.

Monk,Tempest Rush,"Cost: 30 Spirit - Charge directly through your enemies, dealing 390% weapon damage while running.",Northern Breeze,Reduce the Spirit cost of Tempest Rush to 25 Spirit and increase its damage to 500% weapon damage as Holy.,Tailwind,Increases your movement speed while using Tempest Rush by 25%.,Flurry,"After you stop channeling Tempest Rush, you cause an icy blast to all enemies within 15 yards. The damage of the explosion increases by 90% weapon damage as Cold while channeling.Tempest Rush's damage turns into Cold.",Electric Field,Enemies within 20 yards take an additional 135% weapon damage as Lightning every second.Tempest Rush's damage turns into Lightning.,Bluster,Enemies hit are knocked back and deal 20% reduced damage for 4 seconds.Tempest Rush's damage turns into Fire.

Monk,Serenity,Cooldown: 16 seconds - You are enveloped in a protective shield that absorbs all incoming damage for 3 seconds and grants immunity to all control impairing effects. - This ability does not start its cooldown until after its effects expire.,Peaceful Repose,"When activated, Serenity heals you for 93,874 - 120,695 Life.Heal amount is increased by 40% of your Health Globe Healing Bonus.",Unwelcome Disturbance,"While under the effects of Serenity, enemies within 20 yards take 438% weapon damage as Physical every second.",Tranquility,"Protect allies within 45 yards with a shield that removes control impairing effects and redirects up to 120,158 damage to you for 3 seconds.Shield amount is increased by 40% of your Health Globe Healing Bonus.",Ascension,Increase the duration of Serenity to 4 seconds. ,Instant Karma,"While under the effects of Serenity, your movement is unhindered."

Monk,Way of the Hundred Fists,Generate: 12 Spirit per attack - Unleash a rapid series of punches that strike enemies for 190% weapon damage as Physical.,Hands of Lightning,Increase the number of hits in the second strike from 7 to 10 and increasing damage to 423% weapon damage as Lightning.,Blazing Fists,Critical Hits increase your attack speed and movement speed by 5% for 5 seconds. This effect can stack up to 3 times.Way of the Hundred Fists's damage turns into Fire.,Fists of Fury,Perform a short dash with the first attack and enemies hit take an additional 60% weapon damage as Holy over 3 seconds. Fists of Fury damage can stack multiple times on the same enemy.,Assimilation,Each enemy hit with the third hit increases your damage by 5% for 5 seconds.,Windforce Flurry,Every third hit also generates a wave of wind that deals 500% weapon damage as Cold to enemies directly ahead of you.Way of the Hundred Fists's damage turns into Cold.

Monk,Deadly Reach,Generate: 12 Spirit per attack - Project lines of pure force over a short distance for 150% weapon damage as Physical. - Every third hit has a 50% chance to knock enemies up into the air.,Piercing Trident,Increases chance to knock enemies up into the air to 100% and the second and third hits gain increased area of effect.,Searing Grasp,Increase damage to 260% weapon damage as Fire.,Scattered Blows,Every third hit randomly damages enemies within 25 yards for 215% weapon damage as Lightning.,Strike from Beyond,Each enemy hit with the third hit reduces the Spirit cost of your next Spirit Spender by 8%.Deadly Reach's damage turns into Cold.,Foresight,Every third hit also increases the damage of all your attacks by 15% for 5 seconds.

Monk,Seven-Sided Strike,"Cost: 50 Spirit - Cooldown: 30 seconds - Dash rapidly between nearby enemies, dealing 5677% weapon damage over 7 strikes. - This ability does not start its cooldown until after its effects expire.",Sudden Assault,Teleport to the enemy and increase damage dealt to 8285% weapon damage as Lightning over 7 strikes.,Incinerate,Seven-Sided Strike causes enemies to burn for 630% weapon damage as Fire over 3 seconds.,Pandemonium,Removes the Spirit cost and enemies hit by Seven-Sided Strike are Frozen for 7 seconds.,Sustained Attack,Reduce the cooldown to 14 seconds.,Fulminating Onslaught,"Each strike explodes, dealing 877% weapon damage as Holy in a 7 yard radius around the enemy."

Monk,Exploding Palm,"Cost: 40 Spirit - Cause an enemy to Bleed for 1200% weapon damage as Physical over 9 seconds. If the enemy dies while bleeding, it explodes and deals 2770% weapon damage as Physical damage to all nearby enemies.",The Flesh is Weak,Enemies hit take 15% additional damage for 9 seconds.,Strong Spirit,"If the enemy explodes after bleeding, gain 15 Spirit for each enemy caught in the blast.Exploding Palm's damage turns into Holy.",Impending Doom,"Exploding Palm no longer causes the enemy to bleed, but if the enemy dies while affected by Exploding Palm, they explode for 6305% weapon damage as Cold.",Shocking Grasp,Exploding Palm arcs up to 15 yards to another target.Exploding Palm's damage turns into Lightning.,Essence Burn,"Instead of bleeding, the enemy will burn for 1875% weapon damage as Fire over 9 seconds. If the enemy dies while burning, it explodes causing all nearby enemies to burn for 3260% weapon damage as Fire over 3 seconds."

Monk,Mantra of Retribution,"Cost: 50 Spirit - Active: Increase the amount of damage dealt to 202% for 3 seconds. - Passive: You and your allies within 60 yards deal 101% of your weapon damage as Holy to attackers when blocking, dodging or getting hit. - Only one Mantra may be active at a time.",Retaliation,Passive: Increase the amount of damage inflicted by Mantra of Retribution to 202% weapon damage as Fire.,Transgression,Passive: Mantra of Retribution also increases attack speed by 10% for you and your allies.,Indignation,Passive: Enemies damaged by Mantra of Retribution have a 20% chance to be stunned for 3 seconds.,Against All Odds,Passive: Mantra of Retribution has a chance to restore 3 Spirit when dealing damage.,Collateral Damage,"Passive: Enemies damaged by Mantra of Retribution have a 75% chance to suffer a feedback blast, dealing 101% weapon damage as Holy to itself and nearby enemies."

